Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,36.3,-55.1,-90.0,top
C2,4.7u,C_0402_1005Metric,37.6,-55.9,-135.0,top
C5,10u,C_0603_1608Metric,43.75,-68.75,0.0,top
C6,10u,C_0603_1608Metric,42.0,-49.5,90.0,top
C7,10u,C_0603_1608Metric,32.0,-68.75,180.0,top
C8,10u,C_0603_1608Metric,38.75,-45.0,90.0,top
R1,56k,R_0603_1608Metric,44.5,-48.75,0.0,top
R2,56k,R_0603_1608Metric,44.5,-50.5,0.0,top
R3,56k,R_0603_1608Metric,44.5,-57.0,0.0,top
R4,56k,R_0603_1608Metric,44.5,-55.5,0.0,top
R5,56k,R_0603_1608Metric,38.75,-65.75,0.0,top
R6,56k,R_0603_1608Metric,35.5,-68.75,0.0,top
R7,56k,R_0603_1608Metric,31.9,-35.5,0.0,top
R8,56k,R_0603_1608Metric,31.9,-37.0,0.0,top
U1,CH334P,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,38.4225,-52.6375,0.0,top
USB2,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,43.8425,-42.8875,90.0,top
USB3,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,43.8425,-62.8875,90.0,top
USB4,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,33.6575,-62.8875,-90.0,top
USB5,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-6PIN-2MD-073,33.6575,-42.8875,-90.0,top
